merkle_root,count_x,nonce,count_y
a18,117,15403,1
a18,117,138f7,1
a18,117,1219e,1
a18,117,0dcf3,1
a18,117,0daaf,1
a18,117,0b80f,1
a18,117,0a176,1
a18,117,09f50,1
a18,117,09ba8,1
a18,117,05365,1
a18,117,04d01,1
a18,117,0471b,1
a18,117,022f3,1
a18,117,019d4,1
a18,117,05651,1
a18,117,972b5,1
a18,117,95700,1
a18,117,946af,1
a18,117,917f8,1
a18,117,91142,1
a18,117,8fd96,1
a18,117,8eaf1,1
a18,117,8d946,1
a18,117,8ba51,1
a18,117,162f3,1
a18,117,87499,1
a18,117,842fb,1
a18,117,83bbb,1
a18,117,807b9,1
a18,117,806e6,1
a18,117,8032d,1
a18,117,7ae28,1
a18,117,7a42f,1
a18,117,792d0,1
a18,117,89dc8,1
a18,117,ce22c,1
a18,117,c6854,1
a18,117,c4013,1
a18,117,bfd46,1
a18,117,bf919,1
a18,117,bcfd8,1
a18,117,bcb49,1
a18,117,bc3a7,1
a18,117,bb9d9,1
a18,117,9834c,1
a18,117,b98ad,1
a18,117,b7a61,1
a18,117,b3c1f,1
a18,117,b2d99,1
a18,117,adde7,1
a18,117,ab0e8,1
a18,117,a5c64,1
a18,117,a4841,1
a18,117,9ec2d,1
a18,117,99999,1
a18,117,ba1a3,1
a18,117,4ab08,1
a18,117,482ca,1
a18,117,45884,1
a18,117,45246,1
a18,117,4129f,1
a18,117,3f58e,1
a18,117,3c473,1
a18,117,3af96,1
a18,117,39bad,1
a18,117,7696b,1
a18,117,346b3,1
a18,117,3457b,1
a18,117,33e91,1
a18,117,324c1,1
a18,117,30f3f,1
a18,117,302ab,1
a18,117,21965,1
a18,117,1f763,1
a18,117,1c5a4,1
a18,117,1b2a2,1
a18,117,34eab,1
a18,117,74c2a,1
a18,117,7117f,1
a18,117,6e22b,1
a18,117,6cd01,1
a18,117,6c9a5,1
a18,117,6ac35,1
a18,117,5f96a,1
a18,117,5dbd3,1
a18,117,5ba29,1
a18,117,4cb69,1
a18,117,5ad43,1
a18,117,5a855,1
a18,117,56f84,1
a18,117,557eb,1
a18,117,55192,1
a18,117,54576,1
a18,117,51184,1
a18,117,50462,1
a18,117,4f1e9,1
a18,117,4ccfb,1
a18,117,5b8a5,1
a18,117,ceaef,1
a18,117,fe2de,1
a18,117,fd93f,1
a18,117,fb2c7,1
a18,117,f38dc,1
a18,117,f2a0a,1
a18,117,efa93,1
a18,117,ee795,1
a18,117,e2487,1
a18,117,dd5f3,1
a18,117,dd065,1
a18,117,dca34,1
a18,117,dc57a,1
a18,117,d93b7,1
a18,117,d9181,1
a18,117,d6685,1
a18,117,d6538,1
a18,117,d4211,1
a18,117,e5ae2,1
688,115,af533,1
688,115,ac6ea,1
688,115,aac23,1
688,115,aa7de,1
688,115,a9aef,1
688,115,a5657,1
688,115,9e251,1
688,115,9d4a5,1
688,115,9d146,1
688,115,98ae2,1
688,115,966ec,1
688,115,8e0fa,1
688,115,8ce6b,1
688,115,8cad2,1
688,115,8aba8,1
688,115,86f27,1
688,115,84547,1
688,115,82938,1
688,115,9ab30,1
688,115,e3ca6,1
688,115,e10cd,1
688,115,e1041,1
688,115,e0fa2,1
688,115,da317,1
688,115,d8b73,1
688,115,ce9f0,1
688,115,cd38d,1
688,115,ccdeb,1
688,115,afd64,1
688,115,c478b,1
688,115,bf474,1
688,115,bad58,1
688,115,baa72,1
688,115,b9e2a,1
688,115,b9321,1
688,115,b82f3,1
688,115,b6462,1
688,115,b0be4,1
688,115,b02a3,1
688,115,cb277,1
688,115,5e248,1
688,115,58b56,1
688,115,581b3,1
688,115,5649f,1
688,115,51fc7,1
688,115,50e61,1
688,115,502bf,1
688,115,4e506,1
688,115,47a6e,1
688,115,81b83,1
688,115,44677,1
688,115,3f64b,1
688,115,3ca40,1
688,115,35875,1
688,115,3541e,1
688,115,31690,1
688,115,30e87,1
688,115,2df2b,1
688,115,2cde9,1
688,115,29b7e,1
688,115,46fb2,1
688,115,81883,1
688,115,80021,1
688,115,7f7b8,1
688,115,7f411,1
688,115,7b467,1
688,115,7b0df,1
688,115,78e90,1
688,115,7816f,1
688,115,753e0,1
688,115,5ee41,1
688,115,715e8,1
688,115,6dba7,1
688,115,6d205,1
688,115,67cd8,1
688,115,67016,1
688,115,65ce5,1
688,115,65a8a,1
688,115,64155,1
688,115,6326a,1
688,115,60979,1
688,115,7226e,1
688,115,e3d8a,1
688,115,f6280,1
688,115,f3def,1
688,115,f0ea4,1
688,115,efa40,1
688,115,edf2d,1
688,115,ecc7c,1
688,115,e53f5,1
688,115,e407c,1
688,115,238ab,1
688,115,0627d,1
688,115,04fff,1
688,115,2080f,1
688,115,1eeb4,1
688,115,1e6f1,1
688,115,1b26e,1
688,115,19963,1
688,115,17075,1
688,115,150d7,1
688,115,13991,1
688,115,1322e,1
688,115,07676,1
688,115,10842,1
688,115,102d7,1
688,115,0fb4b,1
688,115,0c9a5,1
688,115,0c889,1
688,115,0c41b,1
688,115,0c3cf,1
688,115,0c015,1
688,115,087c4,1
688,115,07c5b,1
688,115,12f39,1
c20,115,e7cf8,1
c20,115,da44d,1
c20,115,d2706,1
c20,115,cd446,1
c20,115,cd0c5,1
c20,115,cc1a0,1
c20,115,cbfd8,1
c20,115,cb11a,1
c20,115,c995d,1
c20,115,c052b,1
c20,115,bcdca,1
c20,115,bb5dd,1
c20,115,bb275,1
c20,115,b7a44,1
c20,115,b5695,1
c20,115,b5532,1
c20,115,b53df,1
c20,115,b22c0,1
c20,115,b148a,1
c20,115,c5c91,1
c20,115,e83c5,1
c20,115,f82a1,1
c20,115,f67c3,1
c20,115,f22f0,1
c20,115,f0c31,1
c20,115,aa97e,1
c20,115,091fb,1
c20,115,08acb,1
c20,115,06e4b,1
c20,115,05d61,1
c20,115,05a42,1
c20,115,83067,1
c20,115,82578,1
c20,115,8109b,1
c20,115,7f213,1
c20,115,7dc37,1
c20,115,7daca,1
c20,115,7cd59,1
c20,115,7a78b,1
c20,115,79b48,1
c20,115,099d0,1
c20,115,6f48c,1
